,LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate
26,27,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445144423722_0020Job Transitioned from NEW to INITED,"17    E55
Name: EventId, dtype: object","17    job_1445144423722_0020Job Transitioned from NE...
Name: EventTemplate, dtype: object"
27,28,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.","18    E7
Name: EventId, dtype: object","18    MRAppMaster launching normal, non-uberized, mu...
Name: EventTemplate, dtype: object"
28,29,2015-10-18,"18:01:51,713",INFO,main,org.apache.hadoop.ipc.CallQueueManager,Using callQueue class java.util.concurrent.LinkedBlockingQueue,"19    E56
Name: EventId, dtype: object","19    Using callQueue class java.util.concurrent.Lin...
Name: EventTemplate, dtype: object"
29,30,2015-10-18,"18:01:51,775",INFO,Socket Reader #1 for port 62260,org.apache.hadoop.ipc.Server,Starting Socket Reader #1 for port 62260,"20    E57
Name: EventId, dtype: object","20    Starting Socket Reader #1 for port <*>
Name: EventTemplate, dtype: object"
30,31,2015-10-18,"18:01:51,791",INFO,main,org.apache.hadoop.yarn.factories.impl.pb.RpcServerFactoryPBImpl,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,"21    E8
Name: EventId, dtype: object","21    Adding protocol org.apache.hadoop.mapreduce.v2...
Name: EventTemplate, dtype: object"
31,32,2015-10-18,"18:01:51,791",INFO,main,org.apache.hadoop.mapreduce.v2.app.client.MRClientService,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260,"22    E9
Name: EventId, dtype: object","22    Instantiated MRClientService at MININT-FNANLI5...
Name: EventTemplate, dtype: object"
32,33,2015-10-18,"18:01:51,806",INFO,IPC Server Responder,org.apache.hadoop.ipc.Server,IPC Server Responder: starting,"23    E58
Name: EventId, dtype: object","23    IPC Server Responder: starting
Name: EventTemplate, dtype: object"
33,34,2015-10-18,"18:01:51,806",INFO,IPC Server listener on 62260,org.apache.hadoop.ipc.Server,IPC Server listener on 62260: starting,"24    E59
Name: EventId, dtype: object","24    IPC Server listener on <*> starting
Name: EventTemplate, dtype: object"
34,35,2015-10-18,"18:01:51,885",INFO,main,org.mortbay.log,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,"25    E10
Name: EventId, dtype: object","25    Logging to org.slf4j.impl.Log4jLoggerAdapter(o...
Name: EventTemplate, dtype: object"
35,36,2015-10-18,"18:01:51,900",INFO,main,org.apache.hadoop.http.HttpRequestLog,Http request log for http.requests.mapreduce is not defined,"26    E60
Name: EventId, dtype: object","26    Http request log for http.requests.mapreduce i...
Name: EventTemplate, dtype: object"
36,37,2015-10-18,"18:01:51,916",INFO,main,org.apache.hadoop.http.HttpServer2,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),"27    E11
Name: EventId, dtype: object","27    Added global filter 'safety' (class=org.apache...
Name: EventTemplate, dtype: object"
37,38,2015-10-18,"18:01:51,916",INFO,main,org.apache.hadoop.http.HttpServer2,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,"28    E12
Name: EventId, dtype: object","28    Added filter AM_PROXY_FILTER (class=org.apache...
Name: EventTemplate, dtype: object"
38,39,2015-10-18,"18:01:51,916",INFO,main,org.apache.hadoop.http.HttpServer2,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,"28    E12
Name: EventId, dtype: object","28    Added filter AM_PROXY_FILTER (class=org.apache...
Name: EventTemplate, dtype: object"
39,40,2015-10-18,"18:01:51,947",INFO,main,org.apache.hadoop.http.HttpServer2,adding path spec: /mapreduce/*,"29    E61
Name: EventId, dtype: object","29    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
40,41,2015-10-18,"18:01:51,947",INFO,main,org.apache.hadoop.http.HttpServer2,adding path spec: /ws/*,"29    E61
Name: EventId, dtype: object","29    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
41,42,2015-10-18,"18:01:51,963",INFO,main,org.apache.hadoop.http.HttpServer2,Jetty bound to port 62267,"30    E62
Name: EventId, dtype: object","30    Jetty bound to port 62267
Name: EventTemplate, dtype: object"
42,43,2015-10-18,"18:01:51,963",INFO,main,org.mortbay.log,jetty-6.1.26,"31    E63
Name: EventId, dtype: object","31    jetty-6.1.26
Name: EventTemplate, dtype: object"
43,44,2015-10-18,"18:01:52,088",INFO,main,org.mortbay.log,Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,"32    E84
Name: EventId, dtype: object","32    Extract jar:file:/D:/hadoop-2.6.0-localbox/sha...
Name: EventTemplate, dtype: object"
44,45,2015-10-18,"18:01:52,728",INFO,main,org.mortbay.log,Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267,"33    E64
Name: EventId, dtype: object","33    Started HttpServer2$SelectChannelConnectorWith...
Name: EventTemplate, dtype: object"
45,46,2015-10-18,"18:01:52,728",INFO,main,org.apache.hadoop.yarn.webapp.WebApps,Web app /mapreduce started at 62267,"29    E61
Name: EventId, dtype: object","29    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
46,47,2015-10-18,"18:01:53,400",INFO,main,org.apache.hadoop.yarn.webapp.WebApps,Registered webapp guice modules,"12    E53
Name: EventId, dtype: object","12    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
47,48,2015-10-18,"18:01:53,400",INFO,main,org.apache.hadoop.ipc.CallQueueManager,Using callQueue class java.util.concurrent.LinkedBlockingQueue,"19    E56
Name: EventId, dtype: object","19    Using callQueue class java.util.concurrent.Lin...
Name: EventTemplate, dtype: object"
48,49,2015-10-18,"18:01:53,447",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator,JOB_CREATE job_1445144423722_0020,"34    E65
Name: EventId, dtype: object","34    JOB_CREATE job_1445144423722_0020
Name: EventTemplate, dtype: object"
49,50,2015-10-18,"18:01:53,447",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,nodeBlacklistingEnabled:true,"1    E47
Name: EventId, dtype: object","1    <*>
Name: EventTemplate, dtype: object"
50,51,2015-10-18,"18:01:53,447",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,maxTaskFailuresPerNode is 3,"1    E47
Name: EventId, dtype: object","1    <*>
Name: EventTemplate, dtype: object"
51,52,2015-10-18,"18:01:53,447",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,blacklistDisablePercent is 33,"1    E47
Name: EventId, dtype: object","1    <*>
Name: EventTemplate, dtype: object"
52,53,2015-10-18,"18:01:53,510",INFO,Socket Reader #1 for port 62270,org.apache.hadoop.ipc.Server,Starting Socket Reader #1 for port 62270,"20    E57
Name: EventId, dtype: object","20    Starting Socket Reader #1 for port <*>
Name: EventTemplate, dtype: object"
53,54,2015-10-18,"18:01:53,510",INFO,IPC Server listener on 62270,org.apache.hadoop.ipc.Server,IPC Server listener on 62270: starting,"24    E59
Name: EventId, dtype: object","24    IPC Server listener on <*> starting
Name: EventTemplate, dtype: object"
54,55,2015-10-18,"18:01:53,510",INFO,IPC Server Responder,org.apache.hadoop.ipc.Server,IPC Server Responder: starting,"23    E58
Name: EventId, dtype: object","23    IPC Server Responder: starting
Name: EventTemplate, dtype: object"
55,56,2015-10-18,"18:01:53,557",INFO,main,org.apache.hadoop.yarn.client.RMProxy,Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030,"35    E13
Name: EventId, dtype: object","35    Connecting to ResourceManager at msra-sa-41/10...
Name: EventTemplate, dtype: object"
56,57,2015-10-18,"18:01:53,713",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"maxContainerCapability: <memory:8192, vCores:32>","36    E66
Name: EventId, dtype: object","36    <*> <*> <*>
Name: EventTemplate, dtype: object"
57,58,2015-10-18,"18:01:53,713",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,queue: default,"37    E67
Name: EventId, dtype: object","37    queue: default
Name: EventTemplate, dtype: object"
58,59,2015-10-18,"18:01:53,713",INFO,main,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Upper limit on the thread pool size is 500,"38    E68
Name: EventId, dtype: object","38    Upper limit on the thread pool size is 500
Name: EventTemplate, dtype: object"
59,60,2015-10-18,"18:01:53,713",INFO,main,org.apache.hadoop.yarn.client.api.impl.ContainerManagementProtocolProxy,yarn.client.max-cached-nodemanagers-proxies : 0,"39    E14
Name: EventId, dtype: object","39    yarn.client.max-cached-nodemanagers-proxies : 0
Name: EventTemplate, dtype: object"
60,61,2015-10-18,"18:01:53,744",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445144423722_0020Job Transitioned from INITED to SETUP,"40    E15
Name: EventId, dtype: object","40    job_1445144423722_0020Job Transitioned from <*...
Name: EventTemplate, dtype: object"
61,62,2015-10-18,"18:01:53,775",INFO,CommitterEvent Processor #0,org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,Processing the event EventType: JOB_SETUP,"36    E66
Name: EventId, dtype: object","36    <*> <*> <*>
Name: EventTemplate, dtype: object"
62,63,2015-10-18,"18:01:53,822",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445144423722_0020Job Transitioned from SETUP to RUNNING,"40    E15
Name: EventId, dtype: object","40    job_1445144423722_0020Job Transitioned from <*...
Name: EventTemplate, dtype: object"
63,64,2015-10-18,"18:01:53,838",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
64,65,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
65,66,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000000 Task Transitioned from NEW to SCHEDULED,"42    E17
Name: EventId, dtype: object","42    <*> Task Transitioned from <*> to <*>
Name: EventTemplate, dtype: object"
66,67,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
67,68,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
68,69,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000001 Task Transitioned from NEW to SCHEDULED,"42    E17
Name: EventId, dtype: object","42    <*> Task Transitioned from <*> to <*>
Name: EventTemplate, dtype: object"
69,70,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
70,71,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
71,72,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000002 Task Transitioned from NEW to SCHEDULED,"42    E17
Name: EventId, dtype: object","42    <*> Task Transitioned from <*> to <*>
Name: EventTemplate, dtype: object"
72,73,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
73,74,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
74,75,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000003 Task Transitioned from NEW to SCHEDULED,"42    E17
Name: EventId, dtype: object","42    <*> Task Transitioned from <*> to <*>
Name: EventTemplate, dtype: object"
75,76,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
76,77,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
77,78,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000004 Task Transitioned from NEW to SCHEDULED,"42    E17
Name: EventId, dtype: object","42    <*> Task Transitioned from <*> to <*>
Name: EventTemplate, dtype: object"
78,79,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
79,80,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
80,81,2015-10-18,"18:01:53,869",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000005 Task Transitioned from NEW to SCHEDULED,"42    E17
Name: EventId, dtype: object","42    <*> Task Transitioned from <*> to <*>
Name: EventTemplate, dtype: object"
81,82,2015-10-18,"18:01:53,885",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
82,83,2015-10-18,"18:01:53,885",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
83,84,2015-10-18,"18:01:53,885",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000006 Task Transitioned from NEW to SCHEDULED,"42    E17
Name: EventId, dtype: object","42    <*> Task Transitioned from <*> to <*>
Name: EventTemplate, dtype: object"
84,85,2015-10-18,"18:01:53,885",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
85,86,2015-10-18,"18:01:53,885",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
86,87,2015-10-18,"18:01:53,885",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000007 Task Transitioned from NEW to SCHEDULED,"42    E17
Name: EventId, dtype: object","42    <*> Task Transitioned from <*> to <*>
Name: EventTemplate, dtype: object"
87,88,2015-10-18,"18:01:53,885",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
88,89,2015-10-18,"18:01:53,885",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
89,90,2015-10-18,"18:01:53,885",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000008 Task Transitioned from NEW to SCHEDULED,"42    E17
Name: EventId, dtype: object","42    <*> Task Transitioned from <*> to <*>
Name: EventTemplate, dtype: object"
90,91,2015-10-18,"18:01:53,885",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
91,92,2015-10-18,"18:01:53,885",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,"41    E16
Name: EventId, dtype: object","41    Resolved <*> to /default-rack
Name: EventTemplate, dtype: object"
92,93,2015-10-18,"18:01:53,885",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000009 Task Transitioned from NEW to SCHEDULED,"42    E17
Name: EventId, dtype: object","42    <*> Task Transitioned from <*> to <*>
Name: EventTemplate, dtype: object"
93,94,2015-10-18,"18:01:53,885",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_r_000000 Task Transitioned from NEW to SCHEDULED,"42    E17
Name: EventId, dtype: object","42    <*> Task Transitioned from <*> to <*>
Name: EventTemplate, dtype: object"
94,95,2015-10-18,"18:01:53,885",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000000_0 TaskAttempt Transitioned from NEW to UNASSIGNED,"43    E18
Name: EventId, dtype: object","43    <*> TaskAttempt Transitioned from <*> to <*>
Name: EventTemplate, dtype: object"
