,LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate
21,22,Jul,1,09:23:26,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,"299    E356
Name: EventId, dtype: object","299    IOThunderboltSwitch<0>(0x0)::listenerCallback ...
Name: EventTemplate, dtype: object"
22,23,Jul,1,09:24:13,calvisitor-10-105-160-95,kernel,0,,"PM response took 2010 ms (54, powerd)","199    E42
Name: EventId, dtype: object","199    PM response took <*> ms <*> <*>
Name: EventTemplate, dtype: object"
23,24,Jul,1,09:25:21,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438666 seconds.  Ignoring.","124    E392
Name: EventId, dtype: object","124    <*> scheduler_evaluate_activity told me to run...
Name: EventTemplate, dtype: object"
24,25,Jul,1,09:25:45,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621131.293163: wl0: Roamed or switched channel, reason #8, bssid 5c:50:15:4c:18:13, last RSSI -64","411    E358
Name: EventId, dtype: object","411    ARPT: 621131.293163: wl0: Roamed or switched c...
Name: EventTemplate, dtype: object"
25,26,Jul,1,09:25:59,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621145.554555: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,","148    E391
Name: EventId, dtype: object","148    ARPT: <*> IOPMPowerSource Information: <*>  Sl...
Name: EventTemplate, dtype: object"
26,27,Jul,1,09:26:41,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621146.080894: wl0: wl_update_tcpkeep_seq: Original Seq: 3014995849, Ack: 2590995288, Win size: 4096","357    E357
Name: EventId, dtype: object","357    ARPT: <*> wl0: wl_update_tcpkeep_seq: Original...
Name: EventTemplate, dtype: object"
27,28,Jul,1,09:26:43,calvisitor-10-105-160-95,networkd,195,,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,"161    E0
Name: EventId, dtype: object","161    nw_nat64_post_new_ifstate successfully changed...
Name: EventTemplate, dtype: object"
28,29,Jul,1,09:26:47,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2165 seconds.  Ignoring.","124    E392
Name: EventId, dtype: object","124    <*> scheduler_evaluate_activity told me to run...
Name: EventTemplate, dtype: object"
29,30,Jul,1,09:27:01,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 13090 seconds.  Ignoring.","79    E341
Name: EventId, dtype: object","79    <*> scheduler_evaluate_activity told me to run...
Name: EventTemplate, dtype: object"
30,31,Jul,1,09:27:06,calvisitor-10-105-160-95,kernel,0,,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)","207    E85
Name: EventId, dtype: object","207    IO80211AWDLPeerManager::setAwdlSuspendedMode()...
Name: EventTemplate, dtype: object"
31,32,Jul,1,09:28:41,authorMacBook-Pro,netbiosd,31198,,"network_reachability_changed : network is not reachable, netbiosd is shutting down","151    E43
Name: EventId, dtype: object","151    network_reachability_changed : network is not ...
Name: EventTemplate, dtype: object"
32,33,Jul,1,09:28:41,authorMacBook-Pro,corecaptured,31206,,CCFile::captureLogRun() Exiting CCFile::captureLogRun,"300    E112
Name: EventId, dtype: object","300    CCFile::captureLogRun() Exiting CCFile::captur...
Name: EventTemplate, dtype: object"
33,34,Jul,1,09:28:50,calvisitor-10-105-160-95,com.apple.CDScheduler,258,,Thermal pressure state: 1 Memory pressure state: 0,"11    E39
Name: EventId, dtype: object","11    Thermal pressure state: <*> Memory pressure st...
Name: EventTemplate, dtype: object"
34,35,Jul,1,09:28:53,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2039 seconds.  Ignoring.","124    E392
Name: EventId, dtype: object","124    <*> scheduler_evaluate_activity told me to run...
Name: EventTemplate, dtype: object"
35,36,Jul,1,09:29:02,calvisitor-10-105-160-95,sandboxd,129,[31211],com.apple.Addres(31211) deny network-outbound /private/var/run/mDNSResponder,"345    E242
Name: EventId, dtype: object","345    <*> deny network-outbound /private/var/run/mDN...
Name: EventTemplate, dtype: object"
36,37,Jul,1,09:29:14,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,"10    E141
Name: EventId, dtype: object","10    IO80211AWDLPeerManager::setAwdlAutoMode Resumi...
Name: EventTemplate, dtype: object"
37,38,Jul,1,09:29:25,calvisitor-10-105-160-95,kernel,0,,ARPT: 621241.634070: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,"240    E251
Name: EventId, dtype: object","240    ARPT: <*> wl0: MDNS: IPV6 Addr: 2607:f140:6000...
Name: EventTemplate, dtype: object"
38,39,Jul,1,09:31:48,authorMacBook-Pro,kernel,0,,AirPort: Link Up on en0,"45    E175
Name: EventId, dtype: object","45    <*> <*>
Name: EventTemplate, dtype: object"
39,40,Jul,1,09:31:53,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438274 seconds.  Ignoring.","124    E392
Name: EventId, dtype: object","124    <*> scheduler_evaluate_activity told me to run...
Name: EventTemplate, dtype: object"
40,41,Jul,1,09:32:03,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 1849 seconds.  Ignoring.","124    E392
Name: EventId, dtype: object","124    <*> scheduler_evaluate_activity told me to run...
Name: EventTemplate, dtype: object"
41,42,Jul,1,09:32:13,calvisitor-10-105-160-95,kernel,0,,Sandbox: com.apple.Addres(31229) deny(1) network-outbound /private/var/run/mDNSResponder,"177    E198
Name: EventId, dtype: object","177    Sandbox: <*> deny(1) <*> <*>
Name: EventTemplate, dtype: object"
42,43,Jul,1,09:32:28,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),"118    E256
Name: EventId, dtype: object","118    mDNS_DeregisterInterface: Frequent transitions...
Name: EventTemplate, dtype: object"
43,44,Jul,1,09:33:13,calvisitor-10-105-160-95,kernel,0,,ARPT: 621342.242614: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],"115    E255
Name: EventId, dtype: object","115    ARPT: <*> <*> <*>
Name: EventTemplate, dtype: object"
44,45,Jul,1,09:33:13,calvisitor-10-105-160-95,kernel,0,,AirPort: Link Up on awdl0,"261    E166
Name: EventId, dtype: object","261    AirPort: Link Up on awdl0
Name: EventTemplate, dtype: object"
45,46,Jul,1,09:33:13,authorMacBook-Pro,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,"54    E113
Name: EventId, dtype: object","54    <*> - <*> = <*>
Name: EventTemplate, dtype: object"
46,47,Jul,1,09:33:58,calvisitor-10-105-160-95,kernel,0,,ARPT: 621389.379319: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,"240    E251
Name: EventId, dtype: object","240    ARPT: <*> wl0: MDNS: IPV6 Addr: 2607:f140:6000...
Name: EventTemplate, dtype: object"
47,48,Jul,1,09:34:42,calvisitor-10-105-160-95,kernel,0,,AppleThunderboltGenericHAL::earlyWake - complete - took 0 milliseconds,"430    E86
Name: EventId, dtype: object","430    AppleThunderboltGenericHAL::earlyWake - comple...
Name: EventTemplate, dtype: object"
48,49,Jul,1,09:34:52,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438095 seconds.  Ignoring.","124    E392
Name: EventId, dtype: object","124    <*> scheduler_evaluate_activity told me to run...
Name: EventTemplate, dtype: object"
49,50,Jul,1,09:35:27,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_DeregisterInterface: Frequent transitions for interface en0 (2607:F140:6000:0008:C6B3:01FF:FECD:467F),"315    E259
Name: EventId, dtype: object","315    <*> Frequent transitions for interface en0 <*>
Name: EventTemplate, dtype: object"
50,51,Jul,1,09:36:19,calvisitor-10-105-160-95,kernel,0,,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = 7,"418    E83
Name: EventId, dtype: object","418    <*> - <*> = <*>
Name: EventTemplate, dtype: object"
51,52,Jul,1,09:39:57,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621490.858770: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2119064372, Ack 3325040593, Win size 278","264    E359
Name: EventId, dtype: object","264    ARPT: 621490.858770: wl0: wl_update_tcpkeep_se...
Name: EventTemplate, dtype: object"
52,53,Jul,1,09:39:57,calvisitor-10-105-160-95,kernel,0,,ARPT: 621490.890645: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],"115    E255
Name: EventId, dtype: object","115    ARPT: <*> <*> <*>
Name: EventTemplate, dtype: object"
53,54,Jul,1,09:39:57,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,"299    E356
Name: EventId, dtype: object","299    IOThunderboltSwitch<0>(0x0)::listenerCallback ...
Name: EventTemplate, dtype: object"
54,55,Jul,1,09:39:57,authorMacBook-Pro,kernel,0,,ARPT: 621492.770239: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],"193    E40
Name: EventId, dtype: object","193    ARPT: <*> <*> <*>
Name: EventTemplate, dtype: object"
55,56,Jul,1,09:41:34,calvisitor-10-105-160-95,kernel,0,,en0::IO80211Interface::postMessage bssid changed,"108    E44
Name: EventId, dtype: object","108    en0::IO80211Interface::postMessage bssid changed
Name: EventTemplate, dtype: object"
56,57,Jul,1,09:41:34,authorMacBook-Pro,kernel,0,,ARPT: 621542.378462: ARPT: Wake Reason: Wake on Scan offload,"227    E41
Name: EventId, dtype: object","227    ARPT: <*> ARPT: Wake Reason: Wake on <*> <*>
Name: EventTemplate, dtype: object"
57,58,Jul,1,09:41:34,authorMacBook-Pro,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,"263    E257
Name: EventId, dtype: object","263    __73-[NetworkAnalyticsEngine observeValueForKe...
Name: EventTemplate, dtype: object"
58,59,Jul,1,09:41:44,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 1268 seconds.  Ignoring.","124    E392
Name: EventId, dtype: object","124    <*> scheduler_evaluate_activity told me to run...
Name: EventTemplate, dtype: object"
59,60,Jul,1,09:41:44,calvisitor-10-105-160-95,com.apple.cts,43,,"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 12119 seconds.  Ignoring.","79    E341
Name: EventId, dtype: object","79    <*> scheduler_evaluate_activity told me to run...
Name: EventTemplate, dtype: object"
60,61,Jul,1,09:41:54,calvisitor-10-105-160-95,com.apple.CDScheduler,258,,Thermal pressure state: 0 Memory pressure state: 0,"11    E39
Name: EventId, dtype: object","11    Thermal pressure state: <*> Memory pressure st...
Name: EventTemplate, dtype: object"
61,62,Jul,1,09:41:54,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 437673 seconds.  Ignoring.","124    E392
Name: EventId, dtype: object","124    <*> scheduler_evaluate_activity told me to run...
Name: EventTemplate, dtype: object"
62,63,Jul,1,09:42:16,calvisitor-10-105-160-95,com.apple.cts,43,,"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 12087 seconds.  Ignoring.","79    E341
Name: EventId, dtype: object","79    <*> scheduler_evaluate_activity told me to run...
Name: EventTemplate, dtype: object"
63,64,Jul,1,09:42:23,calvisitor-10-105-160-95,kernel,0,,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,"308    E199
Name: EventId, dtype: object","308    AppleThunderboltNHIType2::waitForOk2Go2Sx - in...
Name: EventTemplate, dtype: object"
64,65,Jul,1,09:42:54,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,"10    E141
Name: EventId, dtype: object","10    IO80211AWDLPeerManager::setAwdlAutoMode Resumi...
Name: EventTemplate, dtype: object"
65,66,Jul,1,09:43:22,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_RegisterInterface: Frequent transitions for interface en0 (FE80:0000:0000:0000:C6B3:01FF:FECD:467F),"315    E259
Name: EventId, dtype: object","315    <*> Frequent transitions for interface en0 <*>
Name: EventTemplate, dtype: object"
66,67,Jul,1,09:44:23,authorMacBook-Pro,kernel,0,,AppleCamIn::wakeEventHandlerThread,"130    E176
Name: EventId, dtype: object","130    <*>
Name: EventTemplate, dtype: object"
67,68,Jul,1,09:44:26,authorMacBook-Pro,kernel,0,,AirPort: Link Up on en0,"45    E175
Name: EventId, dtype: object","45    <*> <*>
Name: EventTemplate, dtype: object"
68,69,Jul,1,09:44:32,calvisitor-10-105-160-95,com.apple.CDScheduler,43,,Thermal pressure state: 1 Memory pressure state: 0,"11    E39
Name: EventId, dtype: object","11    Thermal pressure state: <*> Memory pressure st...
Name: EventTemplate, dtype: object"
69,70,Jul,1,09:45:08,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621686.164365: wl0: setup_keepalive: Local port: 62614, Remote port: 443","97    E200
Name: EventId, dtype: object","97    ARPT: <*> wl0: setup_keepalive: Local port: <*...
Name: EventTemplate, dtype: object"
70,71,Jul,1,09:45:46,authorMacBook-Pro,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,"263    E257
Name: EventId, dtype: object","263    __73-[NetworkAnalyticsEngine observeValueForKe...
Name: EventTemplate, dtype: object"
71,72,Jul,1,09:45:52,calvisitor-10-105-160-95,networkd,195,,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,"161    E0
Name: EventId, dtype: object","161    nw_nat64_post_new_ifstate successfully changed...
Name: EventTemplate, dtype: object"
72,73,Jul,1,09:59:26,calvisitor-10-105-160-95,kernel,0,,ARPT: 621738.114066: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],"115    E255
Name: EventId, dtype: object","115    ARPT: <*> <*> <*>
Name: EventTemplate, dtype: object"
73,74,Jul,1,10:08:20,calvisitor-10-105-160-95,Dock,307,,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) when=2017-07-01 17:08:20 +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),"125    E393
Name: EventId, dtype: object","125    -[UABestAppSuggestionManager notifyBestAppChan...
Name: EventTemplate, dtype: object"
74,75,Jul,1,10:08:20,calvisitor-10-105-160-95,kernel,0,,en0: channel changed to 1,"173    E114
Name: EventId, dtype: object","173    en0: channel changed to <*>
Name: EventTemplate, dtype: object"
75,76,Jul,1,10:08:20,authorMacBook-Pro,kernel,0,,ARPT: 621799.252673: AQM agg results 0x8001 len hi/lo: 0x0 0x26 BAbitmap(0-3) 0 0 0 0,"162    E201
Name: EventId, dtype: object","162    ARPT: <*> AQM agg results 0x8001 len hi/lo: 0x...
Name: EventTemplate, dtype: object"
76,77,Jul,1,10:08:21,authorMacBook-Pro,corecaptured,31313,,"CCFile::captureLog Received Capture notice id: 1498928900.759059, reason = AuthFail:sts:5_rsn:0","364    E260
Name: EventId, dtype: object","364    CCFile::captureLog Received Capture notice id:...
Name: EventTemplate, dtype: object"
77,78,Jul,1,10:08:29,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 10602 seconds.  Ignoring.","79    E341
Name: EventId, dtype: object","79    <*> scheduler_evaluate_activity told me to run...
Name: EventTemplate, dtype: object"
78,79,Jul,1,10:08:49,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,"333    E1
Name: EventId, dtype: object","333    IO80211AWDLPeerManager::setAwdlOperatingMode S...
Name: EventTemplate, dtype: object"
79,80,Jul,1,10:08:55,calvisitor-10-105-160-95,AddressBookSourceSync,31318,,Unrecognized attribute value: t:AbchPersonItemType,"99    E142
Name: EventId, dtype: object","99    <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
80,81,Jul,1,10:09:58,calvisitor-10-105-160-95,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,"418    E83
Name: EventId, dtype: object","418    <*> - <*> = <*>
Name: EventTemplate, dtype: object"
81,82,Jul,1,10:10:24,calvisitor-10-105-160-95,kernel,0,,Sandbox: com.apple.Addres(31328) deny(1) network-outbound /private/var/run/mDNSResponder,"177    E198
Name: EventId, dtype: object","177    Sandbox: <*> deny(1) <*> <*>
Name: EventTemplate, dtype: object"
82,83,Jul,1,10:10:27,calvisitor-10-105-160-95,kernel,0,,Sandbox: com.apple.Addres(31328) deny(1) network-outbound /private/var/run/mDNSResponder,"177    E198
Name: EventId, dtype: object","177    Sandbox: <*> deny(1) <*> <*>
Name: EventTemplate, dtype: object"
83,84,Jul,1,10:13:39,calvisitor-10-105-160-95,secd,276,,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","8    E360
Name: EventId, dtype: object","8    SOSAccountThisDeviceCanSyncWithCircle sync wit...
Name: EventTemplate, dtype: object"
84,85,Jul,1,10:13:43,calvisitor-10-105-160-95,SpotlightNetHelper,352,,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data","27    E2
Name: EventId, dtype: object","27    CFPasteboardRef CFPasteboardCreate(CFAllocator...
Name: EventTemplate, dtype: object"
85,86,Jul,1,10:13:57,calvisitor-10-105-160-95,kernel,0,,Sandbox: com.apple.Addres(31346) deny(1) network-outbound /private/var/run/mDNSResponder,"177    E198
Name: EventId, dtype: object","177    Sandbox: <*> deny(1) <*> <*>
Name: EventTemplate, dtype: object"
86,87,Jul,1,10:38:53,calvisitor-10-105-160-95,sandboxd,129,[31376],com.apple.Addres(31376) deny network-outbound /private/var/run/mDNSResponder,"345    E242
Name: EventId, dtype: object","345    <*> deny network-outbound /private/var/run/mDN...
Name: EventTemplate, dtype: object"
87,88,Jul,1,10:46:47,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 12 unplug = 0,"299    E356
Name: EventId, dtype: object","299    IOThunderboltSwitch<0>(0x0)::listenerCallback ...
Name: EventTemplate, dtype: object"
88,89,Jul,1,10:46:47,calvisitor-10-105-160-95,sharingd,30299,,10:46:47.425 : BTLE scanner Powered On,"183    E3
Name: EventId, dtype: object","183    <*> : <*> <*> <*> <*>
Name: EventTemplate, dtype: object"
89,90,Jul,1,10:46:48,calvisitor-10-105-160-95,QQ,10018,,button report: 0x8002be0,"286    E115
Name: EventId, dtype: object","286    <*> <*>
Name: EventTemplate, dtype: object"
90,91,Jul,1,10:47:08,calvisitor-10-105-160-95,sandboxd,129,[31382],com.apple.Addres(31382) deny network-outbound /private/var/run/mDNSResponder,"345    E242
Name: EventId, dtype: object","345    <*> deny network-outbound /private/var/run/mDN...
Name: EventTemplate, dtype: object"
91,92,Jul,1,11:20:51,calvisitor-10-105-160-95,sharingd,30299,,11:20:51.293 : BTLE discovered device with hash <01faa200 00000000 0000>,"63    E4
Name: EventId, dtype: object","63    11:20:51.293 : BTLE discovered device with has...
Name: EventTemplate, dtype: object"
92,93,Jul,1,11:24:45,calvisitor-10-105-160-95,secd,276,,"securityd_xpc_dictionary_handler cloudd[326] copy_matching Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}","383    E394
Name: EventId, dtype: object","383    securityd_xpc_dictionary_handler cloudd[326] c...
Name: EventTemplate, dtype: object"
93,94,Jul,1,11:29:32,calvisitor-10-105-160-95,locationd,82,,Location icon should now be in state 'Inactive',"412    E45
Name: EventId, dtype: object","412    Location icon should now be in state <*>
Name: EventTemplate, dtype: object"
94,95,Jul,1,11:38:18,calvisitor-10-105-160-95,kernel,0,,"ARPT: 626126.086205: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10","68    E202
Name: EventId, dtype: object","68    ARPT: <*> wl0: setup_keepalive: interval 900, ...
Name: EventTemplate, dtype: object"
95,96,Jul,1,11:38:18,calvisitor-10-105-160-95,kernel,0,,ARPT: 626126.086246: wl0: MDNS: IPV4 Addr: 10.105.160.95,"288    E261
Name: EventId, dtype: object","288    ARPT: <*> wl0: MDNS: IPV4 Addr: <*>
Name: EventTemplate, dtype: object"
